chr	start	end	strand	gene_id	gene_name	gene_biotype
VII	903474	904748	-	YGR202C	PCT1	protein_coding
VII	905237	905683	+	YGR203W	YGR203W	protein_coding
VII	905934	908774	+	YGR204W	YGR204W	protein_coding
VII	909061	909174	-	YGR204C-A	YGR204C-A	protein_coding
VII	909213	910085	+	YGR205W	YGR205W	protein_coding
VII	910432	910737	+	YGR206W	YGR206W	protein_coding
VII	910843	911628	-	YGR207C	YGR207C	protein_coding
VII	911883	912812	+	YGR208W	YGR208W	protein_coding
VII	912913	913227	-	YGR209C	TRX2	protein_coding
VII	913503	914738	-	YGR210C	YGR210C	protein_coding
VII	915241	916701	+	YGR211W	YGR211W	protein_coding
VII	917040	918446	+	YGR212W	YGR212W	protein_coding
VII	918512	919465	-	YGR213C	YGR213C	protein_coding
VII	920575	921788	+	YGR214W	RPS0A	protein_coding
VII	922175	922507	+	YGR215W	YGR215W	protein_coding
VII	922633	924462	-	YGR216C	YGR216C	protein_coding
VII	924696	930815	+	YGR217W	YGR217W	protein_coding
VII	930953	931023	-	tG(GCC)G2	tG(GCC)G2	tRNA
VII	932541	935795	+	YGR218W	CRM1	protein_coding
VII	936035	936376	+	YGR219W	YGR219W	protein_coding
VII	936074	936883	-	YGR220C	MRPL9	protein_coding
VII	937124	938992	-	YGR221C	YGR221C	protein_coding
VII	939459	939672	-	snR7-L	SNR7-L	snRNA
VII	939494	939672	-	snR7-S	SNR7-S	snRNA
VII	939923	940804	+	YGR222W	YGR222W	protein_coding
VII	940869	942215	-	YGR223C	YGR223C	protein_coding
VII	942806	944647	+	YGR224W	YGR224W	protein_coding
VII	945145	947019	+	YGR225W	AMA1	protein_coding
VII	946792	947001	-	YGR226C	YGR226C	protein_coding
VII	947420	948997	+	YGR227W	DIE2	protein_coding
VII	949365	949709	+	YGR228W	YGR228W	protein_coding
VII	949382	950899	-	YGR229C	SMI1	protein_coding
VII	951894	952307	+	YGR230W	YGR230W	protein_coding
VII	952548	953480	-	YGR231C	YGR231C	protein_coding
VII	953960	954646	+	YGR232W	YGR232W	protein_coding
VII	954674	958210	-	YGR233C	PHO81	protein_coding
VII	959904	961103	+	YGR234W	YHB1	protein_coding
VII	961360	962061	-	YGR235C	MOS2	protein_coding
VII	962530	962817	-	YGR236C	YGR236C	protein_coding
VII	963298	965655	-	YGR237C	YGR237C	protein_coding
VII	966039	968687	-	YGR238C	YGR238C	protein_coding
VII	969187	970053	-	YGR239C	YGR239C	protein_coding
VII	970771	973734	-	YGR240C	YGR240C	protein_coding
VII	974577	974777	-	YGR240C-A	YGR240C-A	protein_coding
VII	974875	976581	-	YGR241C	YGR241C	protein_coding
VII	976415	976723	+	YGR242W	YGR242W	protein_coding
VII	977336	977776	+	YGR243W	YGR243W	protein_coding
VII	978036	979319	-	YGR244C	YGR244C	protein_coding
VII	979765	982068	-	YGR245C	YGR245C	protein_coding
VII	982482	984272	-	YGR246C	BRF1	protein_coding
VII	984966	985685	+	YGR247W	YGR247W	protein_coding
VII	985972	986739	+	YGR248W	YGR248W	protein_coding
VII	988049	989419	+	YGR249W	YGR249W	protein_coding
VII	991176	993521	-	YGR250C	YGR250C	protein_coding
VII	995639	996229	+	YGR251W	NOP19	protein_coding
VII	996869	998188	+	YGR252W	GCN5	protein_coding
VII	998358	999140	-	YGR253C	PUP2	protein_coding
VII	1000927	1002240	+	YGR254W	ENO1	protein_coding
VII	1002523	1003962	-	YGR255C	YGR255C	protein_coding
VII	1004216	1004287	+	tT(UGU)G2	tT(UGU)G2	tRNA
VII	1004624	1006102	+	YGR256W	YGR256W	protein_coding
VII	1006205	1007305	-	YGR257C	YGR257C	protein_coding
VII	1007671	1010766	-	YGR258C	YGR258C	protein_coding
VII	1012481	1012921	-	YGR259C	YGR259C	protein_coding
VII	1012485	1014089	+	YGR260W	YGR260W	protein_coding
VII	1014321	1016750	-	YGR261C	APL6	protein_coding
VII	1016974	1017759	-	YGR262C	BUD32	protein_coding
VII	1017967	1019241	-	YGR263C	YGR263C	protein_coding
VII	1019598	1021853	-	YGR264C	MES1	protein_coding
VII	1021648	1022058	+	YGR265W	YGR265W	protein_coding
VII	1022656	1024761	+	YGR266W	YGR266W	protein_coding
VII	1025004	1025735	-	YGR267C	YGR267C	protein_coding
VII	1026057	1026653	-	YGR268C	YGR268C	protein_coding
VII	1026636	1026962	+	YGR269W	YGR269W	protein_coding
VII	1027370	1031509	+	YGR270W	YGR270W	protein_coding
VII	1027382	1027600	-	YGR270C-A	YGR270C-A	protein_coding
VII	1031791	1037694	+	YGR271W	YGR271W	protein_coding
VII	1037800	1038501	-	YGR271C-A	EFG1	protein_coding
VII	1038715	1039239	-	YGR273C	YGR273C	protein_coding
VII	1039895	1043095	-	YGR274C	TAF1	protein_coding
VII	1043276	1043749	+	YGR275W	YGR275W	protein_coding
VII	1043819	1045480	-	YGR276C	RNH70	protein_coding
VII	1045644	1046561	-	YGR277C	YGR277C	protein_coding
VII	1046731	1048464	+	YGR278W	YGR278W	protein_coding
VII	1048798	1049958	-	YGR279C	YGR279C	protein_coding
VII	1050910	1051725	-	YGR280C	PXR1	protein_coding
VII	1052824	1057257	+	YGR281W	YOR1	protein_coding
VII	1057783	1058724	-	YGR282C	YGR282C	protein_coding
VII	1059015	1060040	-	YGR283C	YGR283C	protein_coding
VII	1060658	1061590	-	YGR284C	YGR284C	protein_coding
VII	1061852	1063153	-	YGR285C	ZUO1	protein_coding
VII	1063813	1064940	-	YGR286C	YGR286C	protein_coding
VII	1067222	1068991	-	YGR287C	YGR287C	protein_coding
VII	1070293	1071714	+	YGR288W	MAL13	protein_coding
VII	1073963	1075813	-	YGR289C	MAL11	protein_coding
VII	1075482	1075925	+	YGR290W	YGR290W	protein_coding
VII	1076283	1076504	-	YGR291C	YGR291C	protein_coding
VII	1076599	1078353	+	YGR292W	MAL12	protein_coding
VII	1079885	1080346	-	YGR293C	YGR293C	protein_coding
VII	1080306	1080668	+	YGR294W	YGR294W	protein_coding
VII	1081584	1082729	-	YGR295C	YGR295C	protein_coding
VII	1084864	1090591	+	YGR296W	YRF1-3	protein_coding
VII	1088870	1089445	-	YGR296C-A	YGR296C-A	protein_coding
VII	1089746	1090228	-	YGR296C-B	YGR296C-B	protein_coding
XII	585	4301	-	YLL067C	YLL067C	protein_coding
XII	843	1325	+	YLL067W-A	YLL067W-A	protein_coding
XII	5605	5775	+	YLL066W-B	YLL066W-B	protein_coding
XII	6120	9836	-	YLL066C	YLL066C	protein_coding
XII	6486	6968	+	YLL066W-A	YLL066W-A	protein_coding
XII	11726	12076	+	YLL065W	YLL065W	protein_coding
XII	13083	13445	-	YLL064C	YLL064C	protein_coding
XII	14648	16072	-	YLL063C	YLL063C	protein_coding
XII	16639	17613	-	YLL062C	YLL062C	protein_coding
XII	17956	19707	+	YLL061W	YLL061W	protein_coding
XII	21138	21839	-	YLL060C	YLL060C	protein_coding
XII	22474	22980	-	YLL059C	YLL059C	protein_coding
XII	23569	25296	+	YLL058W	YLL058W	protein_coding
XII	25756	26994	-	YLL057C	YLL057C	protein_coding
XII	27409	28305	-	YLL056C	YLL056C	protein_coding
XII	30109	31704	+	YLL055W	YLL055W	protein_coding
XII	32673	35204	-	YLL054C	YLL054C	protein_coding
XII	35503	35961	-	YLL053C	YLL053C	protein_coding
XII	35912	36361	-	YLL052C	YLL052C	protein_coding
XII	37333	39471	-	YLL051C	YLL051C	protein_coding
XII	39804	40414	-	YLL050C	COF1	protein_coding
XII	40666	41205	+	YLL049W	YLL049W	protein_coding
XII	41280	46265	-	YLL048C	YBT1	protein_coding
XII	46672	47055	+	YLL047W	YLL047W	protein_coding
XII	46714	47463	-	YLL046C	YLL046C	protein_coding
XII	47859	48629	-	YLL045C	RPL8B	protein_coding
XII	48216	48662	+	YLL044W	YLL044W	protein_coding
XII	49938	51947	+	YLL043W	YLL043W	protein_coding
XII	52087	52590	-	YLL042C	ATG10	protein_coding
XII	53131	53931	-	YLL041C	SDH2	protein_coding
XII	54211	63645	-	YLL040C	VPS13	protein_coding
XII	64062	65207	-	YLL039C	UBI4	protein_coding
XII	65775	66518	-	YLL038C	YLL038C	protein_coding
XII	66562	66942	+	YLL037W	YLL037W	protein_coding
XII	66745	68256	-	YLL036C	PRP19	protein_coding
XII	68580	70478	+	YLL035W	YLL035W	protein_coding
XII	70633	73146	-	YLL034C	YLL034C	protein_coding
XII	73409	74101	+	YLL033W	IRC19	protein_coding
XII	74270	76747	-	YLL032C	YLL032C	protein_coding
XII	77152	80205	-	YLL031C	GPI13	protein_coding
XII	80356	80697	-	YLL030C	YLL030C	protein_coding
XII	81461	83710	+	YLL029W	FRA1	protein_coding
XII	84804	86564	+	YLL028W	YLL028W	protein_coding
XII	87403	88155	+	YLL027W	YLL027W	protein_coding
XII	88623	91349	+	YLL026W	YLL026W	protein_coding
XII	92548	92650	+	tP(UGG)L	tP(UGG)L	tRNA
XII	94747	95121	+	YLL025W	YLL025W	protein_coding
XII	95566	97485	-	YLL024C	SSA2	protein_coding
XII	97997	98836	-	YLL023C	YLL023C	protein_coding
XII	99044	100201	-	YLL022C	YLL022C	protein_coding
XII	100947	105347	+	YLL021W	SPA2	protein_coding
XII	105556	105861	-	YLL020C	YLL020C	protein_coding
XII	105686	107899	-	YLL019C	KNS1	protein_coding
XII	106908	107000	+	YLL019W-A	YLL019W-A	protein_coding
XII	108676	108972	-	YLL018C-A	YLL018C-A	protein_coding
XII	109902	111575	-	YLL018C	DPS1	protein_coding
XII	112234	112545	+	YLL017W	YLL017W	pseudogene
XII	112847	115993	+	YLL016W	YLL016W	pseudogene
XII	116432	121111	+	YLL015W	YLL015W	protein_coding
XII	121322	121648	+	YLL014W	YLL014W	protein_coding
XII	122075	124714	-	YLL013C	YLL013C	protein_coding
XII	125534	127255	+	YLL012W	YLL012W	protein_coding
XII	127523	128992	+	YLL011W	YLL011W	protein_coding
XII	129330	130613	-	YLL010C	YLL010C	protein_coding
XII	131205	131414	-	YLL009C	YLL009C	protein_coding
XII	131729	133987	+	YLL008W	YLL008W	protein_coding
XII	134302	136299	-	YLL007C	YLL007C	protein_coding
XII	136345	136521	+	YLL006W-A	YLL006W-A	protein_coding
XII	136586	137866	+	YLL006W	MMM1	protein_coding
XII	137940	140546	-	YLL005C	YLL005C	protein_coding
XII	141073	142923	+	YLL004W	YLL004W	protein_coding
XII	143201	146041	+	YLL003W	YLL003W	protein_coding
XII	146291	147601	+	YLL002W	RTT109	protein_coding
XII	147890	150163	+	YLL001W	YLL001W	protein_coding
XII	151389	153977	-	YLR001C	YLR001C	protein_coding
XII	154343	156334	-	YLR002C	YLR002C	protein_coding
XII	156855	157730	-	YLR003C	YLR003C	protein_coding
XII	157934	159505	-	YLR004C	YLR004C	protein_coding
XII	160049	161434	+	YLR005W	YLR005W	protein_coding
XII	161755	163893	-	YLR006C	YLR006C	protein_coding
XII	164392	165402	+	YLR007W	YLR007W	protein_coding
XII	165577	166083	-	YLR008C	PAM18	protein_coding
XII	166537	167136	+	YLR009W	YLR009W	protein_coding
XII	167320	167802	-	YLR010C	YLR010C	protein_coding
XII	167944	168025	-	tS(AGA)L	tS(AGA)L	tRNA
XII	169103	169678	+	YLR011W	YLR011W	protein_coding
XII	169982	170281	-	YLR012C	YLR012C	protein_coding
XII	171339	171764	+	YLR013W	YLR013W	protein_coding
XII	172268	174982	-	YLR014C	YLR014C	protein_coding
XII	175227	176744	+	YLR015W	BRE2	protein_coding
XII	176802	177416	-	YLR016C	YLR016C	protein_coding
XII	177608	178621	+	YLR017W	YLR017W	protein_coding
XII	178707	179606	-	YLR018C	YLR018C	protein_coding
XII	180288	181481	+	YLR019W	YLR019W	protein_coding
XII	181789	183405	-	YLR020C	YLR020C	protein_coding
XII	183623	184162	+	YLR021W	IRC25	protein_coding
XII	184174	184926	-	YLR022C	YLR022C	protein_coding
XII	185498	187129	-	YLR023C	YLR023C	protein_coding
XII	187663	193281	-	YLR024C	YLR024C	protein_coding
XII	194452	195174	+	YLR025W	SNF7	protein_coding
XII	195450	196472	-	YLR026C	YLR026C	protein_coding
XII	196829	198085	-	YLR027C	AAT2	protein_coding
XII	198784	199389	+	snR30	snR30	snoRNA
XII	199540	201315	-	YLR028C	YLR028C	protein_coding
XII	201976	202590	-	YLR029C	RPL15A	protein_coding
XII	203290	204081	+	YLR030W	YLR030W	protein_coding
XII	204225	204785	+	YLR031W	YLR031W	protein_coding
XII	204991	208500	+	YLR032W	RAD5	protein_coding
XII	208761	210269	+	YLR033W	YLR033W	protein_coding
XII	210512	211933	-	YLR034C	YLR034C	protein_coding
XII	212369	214456	-	YLR035C	YLR035C	protein_coding
XII	214883	214955	-	tA(UGC)L	tA(UGC)L	tRNA
XII	221521	222132	-	YLR036C	YLR036C	protein_coding
XII	222685	223059	-	YLR037C	PAU23	protein_coding
XII	224921	225172	-	YLR038C	YLR038C	protein_coding
XII	225426	228596	-	YLR039C	YLR039C	protein_coding
XII	228908	229582	-	YLR040C	YLR040C	protein_coding
XII	229377	229697	+	YLR041W	YLR041W	protein_coding
XII	229966	230451	-	YLR042C	YLR042C	protein_coding
XII	231702	232013	-	YLR043C	TRX1	protein_coding
XII	232390	234081	-	YLR044C	YLR044C	protein_coding
XII	235037	237703	-	YLR045C	YLR045C	protein_coding
XII	238001	238813	-	YLR046C	YLR046C	protein_coding
XII	239347	241407	-	YLR047C	YLR047C	protein_coding
XII	242232	243349	+	YLR048W	RPS0B	protein_coding
XII	243886	245172	-	YLR049C	YLR049C	protein_coding
XII	245587	246072	-	YLR050C	YLR050C	protein_coding
XII	246324	246977	-	YLR051C	YLR051C	protein_coding
XII	247201	247953	+	YLR052W	YLR052W	protein_coding
XII	248100	248426	-	YLR053C	YLR053C	protein_coding
XII	248717	250978	-	YLR054C	YLR054C	protein_coding
XII	251272	253080	-	YLR055C	YLR055C	protein_coding
XII	253861	254958	+	YLR056W	ERG3	protein_coding
XII	255306	257855	+	YLR057W	YLR057W	protein_coding
XII	257992	259401	-	YLR058C	SHM2	protein_coding
XII	259738	260547	-	YLR059C	REX2	protein_coding
XII	260979	262766	+	YLR060W	FRS1	protein_coding
XII	263194	263948	+	YLR061W	RPL22A	protein_coding
XII	263577	263954	-	YLR062C	YLR062C	protein_coding
XII	264157	265254	+	YLR063W	YLR063W	protein_coding
XII	265456	266277	+	YLR064W	YLR064W	protein_coding
XII	266373	266918	-	YLR065C	YLR065C	protein_coding
XII	267169	267723	+	YLR066W	YLR066W	protein_coding
XII	267813	270710	-	YLR067C	YLR067C	protein_coding
XII	271008	271463	+	YLR068W	YLR068W	protein_coding
XII	271630	273915	-	YLR069C	YLR069C	protein_coding
XII	274141	275211	-	YLR070C	YLR070C	protein_coding
XII	275378	278626	-	YLR071C	RGR1	protein_coding
XII	278862	280943	+	YLR072W	YLR072W	protein_coding
XII	281019	281621	-	YLR073C	YLR073C	protein_coding
XII	281956	282456	-	YLR074C	YLR074C	protein_coding
XII	282927	283592	+	YLR075W	RPL10	protein_coding
XII	283185	283607	-	YLR076C	YLR076C	protein_coding
XII	283872	285623	+	YLR077W	FMP25	protein_coding
XII	285736	286559	-	YLR078C	BOS1	protein_coding
XII	286820	287674	+	YLR079W	SIC1	protein_coding
XII	287916	289250	+	YLR080W	YLR080W	protein_coding
XII	290212	291936	+	YLR081W	YLR081W	protein_coding
XII	292394	293572	-	YLR082C	YLR082C	protein_coding
XII	294091	296094	-	YLR083C	EMP70	protein_coding
XII	296589	300251	-	YLR084C	YLR084C	protein_coding
XII	300673	301989	-	YLR085C	YLR085C	protein_coding
XII	302243	306499	+	YLR086W	YLR086W	protein_coding
XII	306855	315731	-	YLR087C	YLR087C	protein_coding
XII	316107	317951	+	YLR088W	GAA1	protein_coding
XII	318237	320015	-	YLR089C	YLR089C	protein_coding
XII	320701	322080	+	YLR090W	YLR090W	protein_coding
XII	322297	323178	+	YLR091W	GEP5	protein_coding
XII	323544	326225	+	YLR092W	YLR092W	protein_coding
XII	326513	327415	-	YLR093C	NYV1	protein_coding
XII	327730	329238	-	YLR094C	YLR094C	protein_coding
XII	329677	332115	-	YLR095C	YLR095C	protein_coding
XII	332590	336033	+	YLR096W	YLR096W	protein_coding
XII	336231	337265	-	YLR097C	YLR097C	protein_coding
XII	337527	339473	-	YLR098C	CHA4	protein_coding
XII	339744	340928	-	YLR099C	YLR099C	protein_coding
XII	341325	341588	+	YLR099W-A	YLR099W-A	protein_coding
XII	341810	342853	+	YLR100W	YLR100W	protein_coding
XII	342566	342961	-	YLR101C	YLR101C	protein_coding
XII	342970	343767	-	YLR102C	YLR102C	protein_coding
XII	343989	345941	-	YLR103C	CDC45	protein_coding
XII	346585	346980	+	YLR104W	YLR104W	protein_coding
XII	347047	348180	-	YLR105C	SEN2	protein_coding
XII	348427	348510	-	snR79	SNR79	snoRNA
XII	349006	363738	-	YLR106C	MDN1	protein_coding
XII	364116	365330	+	YLR107W	YLR107W	protein_coding
XII	366235	366346	+	snR6	SNR6	snRNA
XII	366667	368124	-	YLR108C	YLR108C	protein_coding
XII	368781	369311	+	YLR109W	AHP1	protein_coding
XII	369697	370098	-	YLR110C	YLR110C	protein_coding
XII	370391	370723	+	YLR111W	YLR111W	protein_coding
XII	370791	371210	+	YLR112W	YLR112W	protein_coding
XII	371620	372927	+	YLR113W	HOG1	protein_coding
XII	374355	374427	+	tR(ACG)L	tR(ACG)L	tRNA
XII	374944	377238	-	YLR114C	YLR114C	protein_coding
XII	377985	380564	+	YLR115W	CFT2	protein_coding
XII	380822	382252	+	YLR116W	MSL5	protein_coding
XII	382471	384534	-	YLR117C	CLF1	protein_coding
XII	384725	385408	-	YLR118C	YLR118C	protein_coding
XII	385534	386175	+	YLR119W	SRN2	protein_coding
XII	386511	388220	-	YLR120C	YPS1	protein_coding
XII	388672	388773	+	YLR120W-A	YLR120W-A	protein_coding
XII	388744	390270	-	YLR121C	YPS3	protein_coding
XII	390954	391331	-	YLR122C	YLR122C	protein_coding
XII	391078	391407	-	YLR123C	YLR123C	protein_coding
XII	391600	391944	+	YLR124W	YLR124W	protein_coding
XII	393484	393894	+	YLR125W	YLR125W	protein_coding
XII	394765	395520	-	YLR126C	YLR126C	protein_coding
XII	395758	398319	-	YLR127C	APC2	protein_coding
XII	398530	399433	+	YLR128W	YLR128W	protein_coding
XII	399657	402488	+	YLR129W	DIP2	protein_coding
XII	402794	404062	-	YLR130C	YLR130C	protein_coding
XII	404510	406822	-	YLR131C	YLR131C	protein_coding
XII	407283	408155	-	YLR132C	YLR132C	protein_coding
XII	408445	410193	+	YLR133W	YLR133W	protein_coding
XII	410723	412414	+	YLR134W	YLR134W	protein_coding
XII	413281	415527	+	YLR135W	YLR135W	protein_coding
XII	415801	416658	-	YLR136C	TIS11	protein_coding
XII	417006	418109	+	YLR137W	YLR137W	protein_coding
XII	418437	421394	+	YLR138W	YLR138W	protein_coding
XII	421542	423473	-	YLR139C	YLR139C	protein_coding
XII	423474	423800	+	YLR140W	YLR140W	protein_coding
XII	423683	424774	+	YLR141W	YLR141W	protein_coding
XII	425186	426616	+	YLR142W	YLR142W	protein_coding
XII	427132	427203	+	tD(GUC)L1	tD(GUC)L1	tRNA
XII	427329	429386	+	YLR143W	YLR143W	protein_coding
XII	429677	432016	-	YLR144C	ACF2	protein_coding
XII	432168	432773	+	YLR145W	YLR145W	protein_coding
XII	432823	433725	-	YLR146C	YLR146C	protein_coding
XII	433870	434058	+	YLR146W-A	YLR146W-A	protein_coding
XII	434158	434463	-	YLR147C	SMD3	protein_coding
XII	434641	437397	+	YLR148W	PEP3	protein_coding
XII	437631	439823	-	YLR149C	YLR149C	protein_coding
XII	440370	440456	-	YLR149C-A	YLR149C-A	protein_coding
XII	440467	441288	+	YLR150W	STM1	protein_coding
XII	441715	442737	-	YLR151C	YLR151C	protein_coding
XII	442958	444688	-	YLR152C	YLR152C	protein_coding
XII	445524	447575	-	YLR153C	YLR153C	protein_coding
XII	447982	448314	-	YLR154C	RNH203	protein_coding
XII	448650	448721	-	tQ(UUG)L	tQ(UUG)L	tRNA
XII	451575	451785	-	ETS2-1	ETS2-1	rRNA
XII	451786	457732	-	RDN37-1	RDN37-1	rRNA
XII	451786	455181	-	RDN25-1	RDN25-1	rRNA
XII	452438	452623	+	YLR154W-A	YLR154W-A	protein_coding
XII	454392	454556	+	YLR154W-B	YLR154W-B	protein_coding
XII	454696	455070	+	YLR154W-C	TAR1	protein_coding
XII	455182	455413	-	ITS2-1	ITS2-1	rRNA
XII	455414	455571	-	RDN58-1	RDN58-1	rRNA
XII	455433	455636	+	YLR154W-E	YLR154W-E	protein_coding
XII	455572	455932	-	ITS1-1	ITS1-1	rRNA
XII	455883	456023	+	YLR154W-F	YLR154W-F	protein_coding
XII	455933	457732	-	RDN18-1	RDN18-1	rRNA
XII	457733	458432	-	ETS1-1	ETS1-1	rRNA
XII	459676	459796	+	RDN5-1	RDN5-1	rRNA
XII	460712	460922	-	ETS2-2	ETS2-2	rRNA
XII	460923	466869	-	RDN37-2	RDN37-2	rRNA
XII	460923	464318	-	RDN25-2	RDN25-2	rRNA
XII	462522	462671	-	YLR154C-G	YLR154C-G	protein_coding
XII	464319	464550	-	ITS2-2	ITS2-2	rRNA
XII	464551	464708	-	RDN58-2	RDN58-2	rRNA
XII	464709	465069	-	ITS1-2	ITS1-2	rRNA
XII	465070	466869	-	RDN18-2	RDN18-2	rRNA
XII	466870	467569	-	ETS1-2	ETS1-2	rRNA
XII	468813	468931	+	RDN5-2	RDN5-2	rRNA
XII	468827	468958	-	YLR154C-H	YLR154C-H	protein_coding
XII	469317	470405	-	YLR155C	ASP3-1	protein_coding
XII	472113	472457	+	YLR156W	YLR156W	protein_coding
XII	472465	472583	+	RDN5-3	RDN5-3	rRNA
XII	472479	472610	-	YLR156C-A	YLR156C-A	protein_coding
XII	472969	474057	-	YLR157C	ASP3-2	protein_coding
XII	475764	475976	+	YLR157W-D	YLR157W-D	protein_coding
XII	481873	482037	+	YLR157W-E	YLR157W-E	protein_coding
XII	482045	482163	+	RDN5-4	RDN5-4	rRNA
XII	482059	482190	-	YLR157C-C	YLR157C-C	protein_coding
XII	482549	483637	-	YLR158C	ASP3-3	protein_coding
XII	485345	485689	+	YLR159W	YLR159W	protein_coding
XII	485697	485815	+	RDN5-5	RDN5-5	rRNA
XII	485711	485842	-	YLR159C-A	YLR159C-A	protein_coding
XII	486201	487289	-	YLR160C	ASP3-4	protein_coding
XII	488997	489341	+	YLR161W	YLR161W	protein_coding
XII	489349	489469	+	RDN5-6	RDN5-6	rRNA
XII	489573	489929	+	YLR162W	YLR162W	protein_coding
XII	490406	490594	+	YLR162W-A	YLR162W-A	protein_coding
XII	491866	493254	-	YLR163C	MAS1	protein_coding
XII	492812	492925	+	YLR163W-A	YLR163W-A	protein_coding
XII	493883	494389	+	YLR164W	YLR164W	protein_coding
XII	494494	495258	-	YLR165C	YLR165C	protein_coding
XII	495429	498044	-	YLR166C	YLR166C	protein_coding
XII	498947	499405	+	YLR167W	RPS31	protein_coding
XII	499578	500270	-	YLR168C	UPS2	protein_coding
XII	500335	500688	+	YLR169W	YLR169W	protein_coding
XII	500579	501049	-	YLR170C	APS1	protein_coding
XII	500733	501122	+	YLR171W	YLR171W	protein_coding
XII	501260	502162	-	YLR172C	YLR172C	protein_coding
XII	502421	504247	+	YLR173W	YLR173W	protein_coding
XII	504591	505829	+	YLR174W	YLR174W	protein_coding
XII	506134	507585	+	YLR175W	YLR175W	protein_coding
XII	507797	510232	-	YLR176C	RFX1	protein_coding
XII	511054	512940	+	YLR177W	YLR177W	protein_coding
XII	513162	513821	-	YLR178C	TFS1	protein_coding
XII	514108	514713	-	YLR179C	YLR179C	protein_coding
XII	515262	516410	+	YLR180W	SAM1	protein_coding
XII	516678	517670	-	YLR181C	YLR181C	protein_coding
XII	517940	520351	+	YLR182W	SWI6	protein_coding
XII	520543	522012	-	YLR183C	YLR183C	protein_coding
XII	522106	522453	+	YLR184W	YLR184W	protein_coding
XII	522663	523288	+	YLR185W	RPL37A	protein_coding
XII	523632	524390	+	YLR186W	EMG1	protein_coding
XII	524865	527945	+	YLR187W	YLR187W	protein_coding
XII	528300	530387	+	YLR188W	YLR188W	protein_coding
XII	530797	534393	-	YLR189C	ATG26	protein_coding
XII	535214	536689	+	YLR190W	YLR190W	protein_coding
XII	537272	538432	+	YLR191W	PEX13	protein_coding
XII	538792	539589	-	YLR192C	YLR192C	protein_coding
XII	540009	540536	-	YLR193C	YLR193C	protein_coding
XII	540809	541573	-	YLR194C	YLR194C	protein_coding
XII	541937	543304	-	YLR195C	NMT1	protein_coding
XII	543968	545698	+	YLR196W	YLR196W	protein_coding
XII	546097	547611	+	YLR197W	NOP56	protein_coding
XII	547286	547645	-	YLR198C	YLR198C	protein_coding
XII	547853	548769	-	YLR199C	PBA1	protein_coding
XII	549012	549356	+	YLR200W	YKE2	protein_coding
XII	549511	550293	-	YLR201C	COQ9	protein_coding
XII	550194	550636	-	YLR202C	YLR202C	protein_coding
XII	550650	551960	-	YLR203C	YLR203C	protein_coding
XII	552270	552605	+	YLR204W	QRI5	protein_coding
XII	552724	553677	-	YLR205C	YLR205C	protein_coding
XII	554578	556419	+	YLR206W	YLR206W	protein_coding
XII	556788	559289	+	YLR207W	YLR207W	protein_coding
XII	559551	560444	+	YLR208W	SEC13	protein_coding
XII	560797	561732	-	YLR209C	YLR209C	protein_coding
XII	562008	563390	+	YLR210W	YLR210W	protein_coding
XII	563792	564531	-	YLR211C	YLR211C	protein_coding
XII	564860	566281	-	YLR212C	YLR212C	protein_coding
XII	566654	567922	-	YLR213C	YLR213C	protein_coding
XII	568567	570627	+	YLR214W	YLR214W	protein_coding
XII	570776	571858	-	YLR215C	YLR215C	protein_coding
XII	572096	573211	-	YLR216C	CPR6	protein_coding
XII	572909	573232	+	YLR217W	YLR217W	protein_coding
XII	573466	573918	-	YLR218C	COA4	protein_coding
XII	574151	576337	+	YLR219W	YLR219W	protein_coding
XII	576825	577793	+	YLR220W	YLR220W	protein_coding
XII	578362	579024	-	YLR221C	YLR221C	protein_coding
XII	579318	581771	-	YLR222C	YLR222C	protein_coding
XII	582006	582236	-	YLR222C-A	YLR222C-A	protein_coding
XII	582233	585490	-	YLR223C	YLR223C	protein_coding
XII	586464	587573	+	YLR224W	YLR224W	protein_coding
XII	587695	588918	-	YLR225C	YLR225C	protein_coding
XII	589354	590541	+	YLR226W	BUR2	protein_coding
XII	590562	592043	-	YLR227C	YLR227C	protein_coding
XII	592519	592619	-	tL(UAG)L1	tL(UAG)L1	tRNA
XII	600019	602463	-	YLR228C	YLR228C	protein_coding
XII	604212	604787	-	YLR229C	YLR229C	protein_coding
XII	604574	604879	+	YLR230W	YLR230W	protein_coding
XII	605300	605432	-	tI(UAU)L	tI(UAU)L	tRNA
XII	605758	607119	-	YLR231C	YLR231C	protein_coding
XII	606830	607177	+	YLR232W	YLR232W	protein_coding
XII	607425	609524	-	YLR233C	YLR233C	protein_coding
XII	609783	611753	+	YLR234W	TOP3	protein_coding
XII	611532	611930	-	YLR235C	YLR235C	protein_coding
XII	611794	612117	-	YLR236C	YLR236C	protein_coding
XII	612367	614163	+	YLR237W	THI7	protein_coding
XII	614755	616191	+	YLR238W	YLR238W	protein_coding
XII	616332	617318	-	YLR239C	YLR239C	protein_coding
XII	617533	620160	+	YLR240W	VPS34	protein_coding
XII	620473	622821	+	YLR241W	YLR241W	protein_coding
XII	622918	623883	-	YLR242C	YLR242C	protein_coding
XII	624203	625021	+	YLR243W	YLR243W	protein_coding
XII	625168	626331	-	YLR244C	YLR244C	protein_coding
XII	626502	626930	-	YLR245C	YLR245C	protein_coding
XII	627118	628197	+	YLR246W	YLR246W	protein_coding
